,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Rudy,Rudy Gobert,Gobert,36.97999877929690,5,7700,BOS@MIN,MIN,BOS,,,,,,C,,,,,,,,,,,,,,,,
Jamal,Jamal Murray,Murray,31.228572300502200,7,7600,NO@DEN,DEN,NO,O,Hamstring,,,,PG,,,,,,,,,,,,,,,,
Mikal,Mikal Bridges,Bridges,34.6499989827474,6,7600,MIL@BKN,BKN,MIL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Myles,Myles Turner,Turner,34.199999491373700,6,7600,SA@IND,IND,SA,,,,,,C,,,,,,,,,,,,,,,,
Russell,Russell Westbrook,Westbrook,39.66000061035160,5,7500,LAC@NY,LAC,NY,,,,,,PG,,,,,,,,,,,,,,,,
DeMar,DeMar DeRozan,DeRozan,35.88571384974890,7,7500,UTA@CHI,CHI,UTA,,,,,,SF,,,,,,,,,,,,,,,,
Jalen,Jalen Duren,Duren,36.050000508626300,6,7400,GS@DET,DET,GS,,,,,,C,,,,,,,,,,,,,,,,
Keldon,Keldon Johnson,Johnson,33.550000508626300,6,7400,SA@IND,SA,IND,,,,,,SF/PF,,,,,,,,,,,,,,,,
Zach,Zach LaVine,LaVine,31.385713849748900,7,7400,UTA@CHI,CHI,UTA,,,,,,SG,,,,,,,,,,,,,,,,
Franz,Franz Wagner,Wagner,35.050000508626300,6,7300,DAL@ORL,ORL,DAL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Ben,Ben Simmons,Simmons,32.2,5,7300,MIL@BKN,BKN,MIL,,,,,,PG/PF,,,,,,,,,,,,,,,,
Tobias,Tobias Harris,Harris,34.939999389648400,5,7200,WAS@PHI,PHI,WAS,,,,,,SF/PF,,,,,,,,,,,,,,,,
Cam,Cam Thomas,Thomas,38.13333384195960,6,7100,MIL@BKN,BKN,MIL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Jrue,Jrue Holiday,Holiday,34,5,7000,BOS@MIN,BOS,MIN,,,,,,PG,,,,,,,,,,,,,,,,
Jalen,Jalen Williams,Williams,29.883333841959600,6,7000,ATL@OKC,OKC,ATL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Nic,Nic Claxton,Claxton,30.399999618530300,1,7000,MIL@BKN,BKN,MIL,O,Ankle,,,,C,,,,,,,,,,,,,,,,
Chris,Chris Paul,Paul,27.885713849748900,7,6900,GS@DET,GS,DET,,,,,,PG,,,,,,,,,,,,,,,,
D'Angelo,D'Angelo Russell,Russell,32.38333384195960,6,6800,LAL@MIA,LAL,MIA,,,,,,PG/SG,,,,,,,,,,,,,,,,
Jonas,Jonas Valanciunas,Valanciunas,29.116666158040400,6,6700,NO@DEN,NO,DEN,,,,,,C,,,,,,,,,,,,,,,,
